total_time,customers_served,customers_count,customers_out,max_queue,average_queue,max_waiting_time,average_waiting_time
10000,9949,9949,0,13,0.38013870740777966,7,0.3676751432304754
10001,9899,9899,0,10,0.3848057786533313,10001,2.41054651985049
9889,10000,10000,0,11,0.3795,6,0.3712
10000,9983,9983,0,10,0.3924063313965137,10000,1.3968746869678454
9977,10000,10000,0,14,0.4565,9,0.4251
10000,9818,9818,0,12,0.35867793848034224,6,0.3511916887349766
9967,10000,10000,0,17,0.412,8,0.3838
10000,9991,9991,0,13,0.43954559103192875,10000,1.4173756380742668
9952,10000,10000,0,10,0.3922,8,0.3828
9901,10000,10000,0,10,0.4055,9901,2.3775
9968,10000,10000,0,12,0.42595,7,0.4122
10000,9802,9802,0,11,0.43753507116257717,7,0.4129769434809223
10000,9978,9978,0,12,0.4118767226259083,7,0.3999799559029866
9919,10000,10000,0,12,0.36375,9919,1.3572
10000,9913,9913,0,12,0.4134887005649718,9,0.4048219509734692
9892,10000,10000,0,12,0.4281,8,0.4133
9802,10000,10000,0,10,0.41305,7,0.3919
9923,10000,10000,0,12,0.3927,7,0.383
10000,9976,9976,0,13,0.4464214113873296,10000,2.4253207698476342
10000,9845,9845,0,12,0.45540883697308276,8,0.4445911630269172
10000,9905,9905,0,11,0.39668837397142714,6,0.38657243816254416
9979,10000,10000,0,11,0.42345,9979,1.3918
9998,10000,10000,0,11,0.39005,9998,2.3781
10000,9869,9870,0,9,0.32041343669250644,10000,4.391185410334346
10000,9917,9917,0,14,0.3900065547320123,12,0.38015528889785216
9911,10000,10000,0,8,0.3678,8,0.367
10000,9985,9985,0,10,0.3696229155190545,8,0.3657486229344016
10000,9899,9899,0,9,0.3962016365289423,10000,1.4037781594100414
10000,9689,9689,0,9,0.2965371316509264,10000,1.3430694602126123
9981,10000,10000,0,10,0.36145,8,0.3637
